block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,Intro,Alien,AsianBoy,circleBlack,none,left,0,,black-background,filler
1,1,hiSibu,AlienOutline,AsianBoy,circleBlack,Outgroup,left,0,,black-background,FAM
1,2,hiRaylor,Alien,AsianBoyOutline,circleBlack,Ingroup,right,1,,black-background,FAM
1,3,itsthat_apple,AlienOutline,AsianBoy,ApplecircleBlack,appleOutgroup,left,0,,black-background,FAM
1,4,itssee_apple,Alien,AsianBoyOutline,ApplecircleBlack,appleIngroup,right,1,,black-background,FAM
1,5,thatits_car,Alien,AsianBoyOutline,TruckcircleBlack,carIngroup,right,1,,black-background,FAM
1,6,itssee_car,AlienOutline,AsianBoy,TruckcircleBlack,carOutgropu,left,0,,black-background,FAM
1,7,thatits_ball,AlienOutline,AsianBoy,BallcircleBlack,ballOutgroup,left,0,,black-background,FAM
1,8,seethat_ball,Alien,AsianBoyOutline,BallcircleBlack,ballIngroup,right,1,,black-background,FAM
1,9,seethat_shoe,AlienOutline,AsianBoy,ShoecircleBlack,shoeOutgroup,left,0,,black-background,FAM
1,10,thatits_shoe,Alien,AsianBoyOutline,ShoecircleBlack,shoeIngroup,left,0,,black-background,FAM
2,11,find_car,CarsquareBlack,BallsquareBlack,Black,car,left,0,,black-background,FAM_LWL
2,12,where_apple,ApplesquareBlack,ShoesquareBlack,Black,apple,left,0,,black-background,FAM_LWL
2,13,where_ball,carsquareBlack,BallsquareBlack,Black,ball,right,1,,black-background,FAM_LWL
2,14,find_shoe,ShoesquareBlack,ApplesquareBlack,Black,shoe,left,0,,black-background,FAM_LWL
2,15,check_out,LbeachBlack,RbeachBlack,Black,AG,left,0,,black-background,filler
3,16,thatsee_kita,AlienOutline,AsianBoy,nov1S1Circle,kita,left,0,,black-background,Teaching
3,17,seethat_blicket,Alien,AsianBoyOutline,nov1S1Circle,blicket,right,1,,black-background,Teaching
3,18,seethat_cheem,Alien,AsianBoyOutline,nov2S1Circle,cheem,right,1,,black-background,Teaching
3,19,seethat_fisp,AlienOutline,AsianBoy,nov2S1Circle,fisp,left,0,,black-background,Teaching
3,20,seethat_manu,AlienOutline,AsianBoy,nov3S1Circle,manu,left,0,,black-background,Teaching
3,21,seethat_regli,Alien,AsianBoyOutline,nov3S1Circle,regli,right,1,,black-background,Teaching
3,22,seethat_pank,AlienOutline,AsianBoy,nov4S1Circle,pank,left,0,,black-background,Teaching
3,23,thatsee_smope,Alien,AsianBoyOutline,nov4S1Circle,smope,right,1,,black-background,Teaching
4,24,find_regli,nov1S1Square,nov3S1Square,Black,blicket,left,0,,black-background,ImmTest
4,25,find_smope,nov2S1Square,nov4S1Square,Black,smope,right,1,,black-background,ImmTest
4,26,find_kita,nov4S1Square,nov1S1Square,Black,pank,left,0,,black-background,ImmTest
4,27,find_cheem,nov3S1Square,nov2S1Square,Black,cheem,right,1,,black-background,ImmTest
4,28,find_manu,nov1S1Square,nov3S1Square,Black,kita,left,0,,black-background,ImmTest
4,29,find_pank,nov2S1Square,nov4S1Square,Black,fisp,left,0,,black-background,ImmTest
4,30,find_blicket,nov4S1Square,nov1S1Square,Black,kita,right,1,,black-background,ImmTest
4,31,find_fisp,nov3S1Square,nov2S1Square,Black,regli,left,0,,black-background,ImmTest
4,32,check_out,beach_left,beach_right,Black,AG,left,0,,black-background,filler
5,33,seethat_zorch,AlienOutline,AsianBoy,n5circleBlack,zorch,left,0,,black-background,Teaching
5,34,seethat_jick,Alien,AsianBoyOutline,n5circleBlack,jick,right,1,,black-background,Teaching
5,35,thatsee_teebu,Alien,AsianBoyOutline,n6circleBlack,teebu,right,0,,black-background,Teaching
5,36,thatsee_wiso,AlienOutline,AsianBoy,n6circleBlack,wiso,left,1,,black-background,Teaching
5,37,thatsee_isot,AlienOutline,AsianBoy,n7circleBlack,isot,left,0,,black-background,Teaching
5,38,thatsee_akar,Alien,AsianBoyOutline,n7circleBlack,akar,right,1,,black-background,Teaching
5,39,seethat_leem,Alien,AsianBoyOutline,n8circleBlack,leam,right,0,,black-background,Teaching
5,40,thatsee_doff,AlienOutline,AsianBoy,n8circleBlack,doff,left,1,,black-background,Teaching
6,41,find_zorch,nov5S1Square,nov7S1Square,Black,zorch,left,0,,black-background,ImmTest
6,42,find_doff,nov6S1Square,nov8S1Square,Black,doff,right,1,,black-background,ImmTest
6,43,find_jick,nov8S1Square,nov5S1Square,Black,jick,right,1,,black-background,ImmTest
6,44,find_isot,nov7S1Square,nov6S1Square,Black,isot,left,0,,black-background,ImmTest
6,45,find_akar,nov5S1Square,nov7S1Square,Black,akar,right,1,,black-background,ImmTest
6,46,find_teebu,nov6S1Square,nov8S1Square,Black,teebu,left,0,,black-background,ImmTest
6,47,find_leam,nov8S1Square,nov5S1Square,Black,leam,left,0,,black-background,ImmTest
6,48,find_wiso,nov7S1Square,nov6S1Square,Black,wiso,right,1,,black-background,ImmTest
6,49,End,LoceanBlack,RoceanBlack,Black,AG,left,0,,black-background,filler